VideoName,Frame,radar_range,radar_angle,cam_tick,rad_tick,lateral_dist,TargetID,Data_Confidence
20180101_1511_50400,132,88.0,0.09999999999999432,5809945,5809914,0.153588893579101,35,100.0
20180101_1511_50400,133,86.5,0.0,5809976,5809960,0.0,35,100.0
20180101_1511_50400,134,85.85000000000001,0.0,5810007,5809992,0.0,35,100.0
20180101_1511_50400,135,85.0,0.0,5810038,5810007,0.0,35,100.0
20180101_1511_50400,136,84.35000000000001,0.09999999999999432,5810070,5810038,0.14721844515224056,35,100.0
20180101_1511_50400,136,38.85,5.799999999999997,5810070,5810101,3.9260370788154044,30,54.0
20180101_1511_50400,137,83.5,0.09999999999999432,5810101,5810085,0.14573491606653333,35,100.0
20180101_1511_50400,137,38.85,5.799999999999997,5810101,5810101,3.9260370788154044,30,54.0
20180101_1511_50400,138,37.95,5.900000000000006,5810148,5810163,3.9009767047679005,30,54.0
20180101_1511_50400,138,81.95,0.09999999999999432,5810148,5810163,0.14302965714553778,35,90.0
20180101_1511_50400,139,37.95,5.900000000000006,5810163,5810163,3.9009767047679005,30,54.0
20180101_1511_50400,139,81.95,0.09999999999999432,5810163,5810163,0.14302965714553778,35,90.0
20180101_1511_50400,140,37.25,6.0,5810210,5810241,3.8936851905439482,30,51.0
20180101_1511_50400,140,81.30000000000001,0.5,5810210,5810241,0.7094673239159003,35,95.0
20180101_1511_50400,141,37.25,6.0,5810241,5810241,3.8936851905439482,30,51.0
20180101_1511_50400,141,81.30000000000001,0.5,5810241,5810241,0.7094673239159003,35,95.0
20180101_1511_50400,142,37.25,6.0,5810272,5810241,3.8936851905439482,30,51.0
20180101_1511_50400,142,81.30000000000001,0.5,5810272,5810241,0.7094673239159003,35,95.0
20180101_1511_50400,143,36.35,6.0,5810319,5810335,3.799609575201947,30,48.0
20180101_1511_50400,143,80.4,0.5,5810319,5810335,0.701613442101333,35,95.0
20180101_1511_50400,144,36.35,6.0,5810335,5810335,3.799609575201947,30,48.0
